filename,text
F1_anger_free_01.wav,くはぁ…あんたは誰だと思っているの?名前気な態度は許せない!
F1_anger_free_02.wav,うわー!腹黒いなんて言うな!あなたのような人間には理解できないこともあるのよ!
F1_anger_free_03.wav,くああああああ意義を整えるのはもうやめろ君が悪いことをしたことは明白だ
F1_anger_free_04.wav,うう…なんでそんなに否定的なの?もっと現実的に考えなさいよ!
F1_anger_free_05.wav,かぁ…なぜいつも私を反目するんだ?何か文句があるなら言ってみろ!
F1_anger_free_06.wav,ギェ!こんなことになる前に、私がバンパイヤだって言ってたのに信じてくれなかったんだろ!
F1_anger_free_07.wav,おぉぉぉ!サブスティテューションなんてお前の能力不足の証拠だろうが!
F1_anger_free_08.wav,んん?この学校のエデュケーションは何だったの?何も教えてくれないじゃないか
F1_anger_free_09.wav,はっ、この話の脈楽が全くわからないわ。もっとちゃんと説明してよ。
F1_anger_free_10.wav,うーん!何度も言わなきゃわからないの?この機械を潰してしまったら自分の首を閉めることになるんだよ!
F1_anger_regular_01.wav,ああ、どうしてこんなにあらわらしい態度をとるんだ?落ち着いた話を聞けばいいのに。
F1_anger_regular_02.wav,ああ、あの問題事がまた女を起こしたって?何度注意しても改善しないんだから、もう本当に腹が立つ!
F1_anger_regular_03.wav,あ、戦争を望むのか?どうしてこんなに愚かなことを言えるんだ?
F1_anger_regular_04.wav,ああ、罪悪感を感じるのは当たり前だろ!何をやっても全く反省していないのか?
F1_anger_regular_05.wav,ええ、自分勝手な考え方は許せないわ。周りの人たちの気持ちを考えなさい!
F1_anger_regular_06.wav,えええ!非今日もの名!人を裏切るなんて、どうしてそんなにいやしいことができるんだ!
F1_anger_regular_07.wav,え?気取った態度を取って何がしたいの?素直に話せばいいのに
F1_anger_regular_08.wav,ええ、腹の立つことはわかるけど、怒りを爆発させる前に冷静に考えようよ!
F1_anger_regular_09.wav,おい、ぶっきら棒に話すな。もうちょっと感情込めて話してくれないと、こっちもイライラするぞ。
F1_anger_regular_10.wav,おい!あなたの仮質で私たちは損害を込むったんだぞ!責任を取れ!
F1_anger_regular_11.wav,おい失礼な態度は許されないぞ 謝罪して反省しなさい
F1_anger_regular_12.wav,おい、あんた防挙を働いたって何がしたいんだ?自分がやられて嫌なことは他人にもやるなんて許されることじゃないよ?
F1_anger_regular_13.wav,おのれ、何度も言い争いをしてばかりで何がしたいんだ?仲直りしろ!
F1_anger_regular_14.wav,おのれ、私たちは同僚なんだろ?なぜこんなに軽別的な態度を取るんだ?
F1_anger_regular_15.wav,おのれ!支援できと傷つけるなんて、ひきょうな恋だ!
F1_anger_regular_16.wav,おのれ、この地域は乱開発によって自然が破壊されているんだぞ!何も考えていないのか?
F1_anger_regular_17.wav,このあんたの過激な言動が問題なんだよ周りの人の気持ちを考えて行動しろよ
